Player,Injury
Aymeric Laporte,Fractura de peroné
Sabin Merino,Rotura en el isquiotibial
Tiago,Fractura de tibia
Diego Godín,Lesión en los isquios
Sandro,Lesión recto anterior
Mathieu,Rotura menisco
Vermaelen,Elongación en el sóleo
Sergi Samper,Fractura del maleolo
Fontàs,Molestias tendón de Aquiles
Néstor Díaz,Rotura en el hombro
Beauvue,Rotura tendón Aquiles
Fabricio Agosto,Rotura lig. cruzado anterior
Germán Lux,Rotura ligamento rodilla
Luis Alberto,Molestias
Luisinho,Molestias tendón
Borja Ekiza,Operado de una sport hernia
Jaime Jiménez,Edema óseo
Antonio Luna,Lesión indeterminada
Abraham,Lesión en el biceps femoral
Anaitz Arbilla,Sobrecarga obturador
José Alberto Cañas,Sobrecarga en los isquios
Caicedo,Aductor
Óscar Duarte,Aductor
Roberto Lago,Lesión indeterminada
Goitom,Molestias sin determinar
Álvaro Pereira,Lesión en los isquios
Marreh,Rotura del ligamento cruzado
Foulquier,Fractura metatarsiano
Márquez,Molestias
Iván López,Rotura menisco
Juanfran,Molestias
Juan Carlos Pérez,Molestias en el aductor
Javi Ontiveros,Lesión en el recto anterior
Sergio Canales,Rotura ligamento cruzado
Carlos Martínez,Lesión en el tobillo
Agirretxe,Molestias en el tobillo
Toño,Rotura ligamento cruzado
Ebert,Rotura del tendón de Aquiles
Cobeño,Hernia lumbar
Piti,Molestias en el tobillo
Zé Castro,Molestias
Marco Andreolli,Rotura tendón de Aquiles
Tremoulinas,Rotura fibrilar
Vitolo,Lesión en los isquios
Rami,Elongación
Cheryshev,Lesión en el recto anterior
Bakkali,Pubalgia
Pablo Piatti,Lesión en el aductor
Gayá,Contractura cuádriceps
Leo Baptistao,Lesión indeterminada
Javi Castellano,Rotura menisco
Lemos,Lesión en el ductor
Bernardo Espinosa,Triada
Ndi,Molestias rodilla
Alberto García,Molestias en el hombro
Cristiano Piccini,Rotura de ligamento cruzado
Digard,Sobrecarga cuádriceps
Vargas,Edema en el recto anterior
